epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,9121.4,0.97051,0.64722,0.00721,0.90486,0.88079,0.92737,0.69355,0.98566,0.48162,0.00919,0.000686937,0.000686937,0.000686937
93,9220.72,0.97527,0.64357,0.00731,0.92431,0.87785,0.93545,0.70102,0.96655,0.47222,0.00893,0.00068075,0.00068075,0.00068075
94,9319.86,0.96918,0.64631,0.00753,0.9183,0.85981,0.92804,0.70417,0.96142,0.47318,0.00893,0.000674562,0.000674562,0.000674562
95,9418.83,1.00196,0.66454,0.00761,0.89365,0.88338,0.92643,0.70019,0.96635,0.5136,0.00901,0.000668375,0.000668375,0.000668375
96,9517.95,0.98427,0.63748,0.00729,0.90345,0.87644,0.92547,0.70174,0.96591,0.47852,0.00894,0.000662188,0.000662188,0.000662188
97,9617.22,0.94496,0.61731,0.00695,0.90686,0.87671,0.92919,0.71446,0.9521,0.49246,0.00893,0.000656,0.000656,0.000656
98,9716.57,0.98043,0.64554,0.00751,0.92015,0.86641,0.92997,0.71328,0.96085,0.50368,0.00891,0.000649813,0.000649813,0.000649813
99,9816.04,0.93705,0.60797,0.00669,0.92155,0.87597,0.93566,0.70591,0.94488,0.48509,0.00878,0.000643625,0.000643625,0.000643625
100,9915.1,0.95082,0.60894,0.0071,0.92181,0.8889,0.93909,0.71742,0.94703,0.48484,0.00877,0.000637437,0.000637437,0.000637437
101,10014.5,0.93327,0.59792,0.00694,0.94075,0.85924,0.93411,0.72017,0.94267,0.47995,0.00873,0.00063125,0.00063125,0.00063125
102,10113.7,0.92526,0.60023,0.00687,0.91439,0.89007,0.93609,0.72148,0.94139,0.47495,0.00863,0.000625062,0.000625062,0.000625062
103,10212.4,0.92632,0.61508,0.00701,0.91813,0.87796,0.9346,0.71972,0.94601,0.4771,0.00875,0.000618875,0.000618875,0.000618875
104,10311.4,0.91329,0.60902,0.00679,0.92819,0.87435,0.93465,0.72127,0.93512,0.48628,0.00861,0.000612687,0.000612687,0.000612687
105,10410.4,0.91675,0.58401,0.00686,0.90813,0.88881,0.93508,0.71905,0.94614,0.45387,0.0088,0.0006065,0.0006065,0.0006065
106,10508.9,0.91651,0.59095,0.0068,0.92145,0.87455,0.93433,0.7211,0.93629,0.4762,0.00869,0.000600313,0.000600313,0.000600313
107,10607.7,0.91711,0.59381,0.00666,0.93084,0.87135,0.93331,0.71932,0.92755,0.45459,0.00867,0.000594125,0.000594125,0.000594125
108,10706.6,0.8953,0.57894,0.00658,0.92326,0.88074,0.9354,0.73054,0.92106,0.46018,0.00856,0.000587938,0.000587938,0.000587938
109,10806.1,0.91126,0.58752,0.00685,0.93305,0.88167,0.93969,0.72966,0.9136,0.45679,0.00845,0.00058175,0.00058175,0.00058175
110,10905.5,0.91285,0.58114,0.00676,0.91888,0.87928,0.93214,0.72555,0.90531,0.45013,0.00839,0.000575563,0.000575563,0.000575563
111,11004.6,0.8692,0.55682,0.00614,0.9313,0.87437,0.93634,0.72975,0.91227,0.45224,0.00842,0.000569375,0.000569375,0.000569375
112,11103.7,0.89856,0.57446,0.00666,0.93655,0.87673,0.93854,0.72813,0.91234,0.44173,0.00838,0.000563187,0.000563187,0.000563187
113,11203,0.87611,0.56312,0.00643,0.93387,0.87556,0.93898,0.72923,0.91381,0.46045,0.00848,0.000557,0.000557,0.000557
114,11302.2,0.87827,0.56484,0.00644,0.93174,0.88057,0.93399,0.73313,0.8963,0.4586,0.00833,0.000550813,0.000550813,0.000550813
115,11401.7,0.86854,0.54076,0.00633,0.93293,0.88874,0.9423,0.74014,0.89453,0.43283,0.00839,0.000544625,0.000544625,0.000544625
